x,y,Ez
-94.6+0j,2+0j,-0.467842556024588-0.851001271441202j
-94.58+0j,2+0j,-0.456568133417074-0.856303861895411j
-94.56+0j,2+0j,-0.448426056729845-0.865736212061148j
-94.54+0j,2+0j,-0.444826175757981-0.877666680821678j
-94.52+0j,2+0j,-0.446392493966082-0.890030922578497j
-94.5+0j,2+0j,-0.452855004438749-0.900689083681862j
-94.48+0j,2+0j,-0.463096234160866-0.907796142140883j
-94.46+0j,2+0j,-0.47534447330442-0.910121296798013j
-94.44+0j,2+0j,-0.487480277021122-0.907261117034077j
-94.42+0j,2+0j,-0.497403215631098-0.899709539912909j
-94.4+0j,2+0j,-0.503395410538171-0.888772570079909j
-94.38+0j,2+0j,-0.504418936253802-0.876342413241635j
-94.36+0j,2+0j,-0.500295601876858-0.864570105640911j
-94.34+0j,2+0j,-0.491737971767575-0.855493277891067j
-94.32+0j,2+0j,-0.480226225386094-0.850683468482847j
-94.3+0j,2+0j,-0.467752136481752-0.850974032191313j
-94.28+0j,2+0j,-0.456474454548155-0.856315752438639j
-94.26+0j,2+0j,-0.448345314744085-0.865785174203078j
-94.24+0j,2+0j,-0.444772329193316-0.877744247246469j
-94.22+0j,2+0j,-0.446374850564599-0.890123681165162j
-94.2+0j,2+0j,-0.452876612249503-0.900780996623447j
-94.18+0j,2+0j,-0.463153354975747-0.907871318860598j
-94.16+0j,2+0j,-0.475427229391245-0.910166741227845j
-94.14+0j,2+0j,-0.487574359262731-0.907268974286221j
-94.12+0j,2+0j,-0.497492357682998-0.899678453955739j
-94.1+0j,2+0j,-0.50346420120177-0.888707917753052j
-94.08+0j,2+0j,-0.504455483818721-0.876255374227711j
-94.06+0j,2+0j,-0.500293589811585-0.864475729262622j
-94.04+0j,2+0j,-0.491697750397403-0.855407881027141j
-94.02+0j,2+0j,-0.480154750886928-0.850621814514431j
-94+0j,2+0j,-0.467661767815348-0.850946778716177j
-93.98+0j,2+0j,-0.456380816409893-0.856327608990602j
-93.96+0j,2+0j,-0.448264596054296-0.865834088433397j
-93.94+0j,2+0j,-0.444718484223793-0.877821760194885j
-93.92+0j,2+0j,-0.446357186592937-0.890216390119345j
-93.9+0j,2+0j,-0.452898180775019-0.900872872583391j
-93.88+0j,2+0j,-0.463210424577361-0.907946477893111j
-93.86+0j,2+0j,-0.475509931288156-0.910212190553332j
-93.84+0j,2+0j,-0.487668393889417-0.907276858341652j
-93.82+0j,2+0j,-0.497581467163853-0.899647412157587j
-93.8+0j,2+0j,-0.503532980219327-0.888643319284972j
-93.78+0j,2+0j,-0.504492042895925-0.876168389339444j
-93.76+0j,2+0j,-0.500291610578205-0.864381397718656j
-93.74+0j,2+0j,-0.491657577559461-0.855322511709813j
-93.72+0j,2+0j,-0.480083332182015-0.850560165795134j
-93.7+0j,2+0j,-0.467571452414722-0.850919507078473j
-93.68+0j,2+0j,-0.456287219583819-0.856339426978175j
-93.66+0j,2+0j,-0.448183899330071-0.865882950333764j
-93.64+0j,2+0j,-0.444664637833803-0.877899216168662j
-93.62+0j,2+0j,-0.446339497869238-0.890309047470275j
-93.6+0j,2+0j,-0.452919705389023-0.900964711462483j
-93.58+0j,2+0j,-0.46326743869514-0.908021621031483j
-93.56+0j,2+0j,-0.47559257582042-0.910257648152944j
-93.54+0j,2+0j,-0.48776237937395-0.907284773582291j
-93.52+0j,2+0j,-0.497670544461474-0.899616419147063j
-93.5+0j,2+0j,-0.503601749830173-0.888578778750064j
-93.48+0j,2+0j,-0.50452861719206-0.876081461390492j
-93.46+0j,2+0j,-0.500289668711685-0.864287112072444j
-93.44+0j,2+0j,-0.491617457833453-0.855237169064874j
-93.42+0j,2+0j,-0.480011973102939-0.850498519660781j
-93.4+0j,2+0j,-0.467481192698562-0.850892213281956j
-93.38+0j,2+0j,-0.456193664654283-0.856351201762422j
-93.36+0j,2+0j,-0.448103223216809-0.865931755424478j
-93.34+0j,2+0j,-0.444610786960637-0.877976611623255j
-93.32+0j,2+0j,-0.446321780149718-0.890401651223979j
-93.3+0j,2+0j,-0.452941181399178-0.901056513165519j
-93.28+0j,2+0j,-0.46332439299975-0.908096750099332j
-93.26+0j,2+0j,-0.475675159771926-0.910303117457019j
-93.24+0j,2+0j,-0.487856314172383-0.907292724454336j
-93.22+0j,2+0j,-0.49775958997455-0.899585479618351j
-93.2+0j,2+0j,-0.503670512310286-0.888514300278235j
-93.18+0j,2+0j,-0.504565210469888-0.875994593230413j
-93.16+0j,2+0j,-0.500287768812929-0.864192873397416j
-93.14+0j,2+0j,-0.491577395863442-0.85515185220041j
-93.12+0j,2+0j,-0.479940677532971-0.85043687340482j
-93.1+0j,2+0j,-0.467390991115599-0.85086489327058j
-93.08+0j,2+0j,-0.456100152208785-0.856362928637479j
-93.06+0j,2+0j,-0.448022566335526-0.865980499163381j
-93.04+0j,2+0j,-0.444556928493873-0.878053942966869j
-93.02+0j,2+0j,-0.446304029127738-0.890494199362732j
-93+0j,2+0j,-0.452962604045955-0.901148277601109j
-92.98+0j,2+0j,-0.463381283101954-0.908171866951113j
-92.96+0j,2+0j,-0.475757679884355-0.910348601948474j
-92.94+0j,2+0j,-0.487950196723536-0.907300715469261j
-92.92+0j,2+0j,-0.497848604112581-0.899554598332357j
-92.9+0j,2+0j,-0.503739269972677-0.888449888056046j
-92.88+0j,2+0j,-0.504601826549096-0.875907787745505j
-92.86+0j,2+0j,-0.500285915549871-0.864098682777458j
-92.84+0j,2+0j,-0.491537396359052-0.855066560206791j
-92.82+0j,2+0j,-0.479869449408125-0.850375224277806j
-92.8+0j,2+0j,-0.467300850145326-0.850837542927611j
-92.78+0j,2+0j,-0.456006682838297-0.856374602829429j
-92.76+0j,2+0j,-0.447941927282742-0.866029176944625j
-92.74+0j,2+0j,-0.444503059274754-0.878131206559492j
-92.72+0j,2+0j,-0.446286240432803-0.890586689844314j
-92.7+0j,2+0j,-0.452983968501485-0.90124000468148j
-92.68+0j,2+0j,-0.463438104551471-0.908246973472397j
-92.66+0j,2+0j,-0.475840132856177-0.910394105163538j
-92.64+0j,2+0j,-0.48804402544845-0.907308751204866j
-92.62+0j,2+0j,-0.497937587295769-0.89952378011791j
-92.6+0j,2+0j,-0.503808025167793-0.888385546327822j
-92.58+0j,2+0j,-0.504638469307125-0.8758210478597j
-92.56+0j,2+0j,-0.500284113658557-0.864004541307326j
-92.54+0j,2+0j,-0.491497464096648-0.854981292156623j
-92.52+0j,2+0j,-0.47979829271825-0.850313569486892j
-92.5+0j,2+0j,-0.46721077229886-0.850810158074693j
-92.48+0j,2+0j,-0.455913257137582-0.856386219495163j
-92.46+0j,2+0j,-0.447861304630265-0.866077784097555j
-92.44+0j,2+0j,-0.444449176095552-0.878208398711821j
-92.42+0j,2+0j,-0.446268409629581-0.890679120601385j
-92.4+0j,2+0j,-0.453005269868367-0.90133169432227j
-92.38+0j,2+0j,-0.463494852835787-0.908322071580163j
-92.36+0j,2+0j,-0.475922515341703-0.910439630692483j
-92.34+0j,2+0j,-0.488137798749736-0.907316836306368j
-92.32+0j,2+0j,-0.498026539954937-0.899493029872958j
-92.3+0j,2+0j,-0.503876780283917-0.888321279396788j
-92.28+0j,2+0j,-0.504675142679994-0.875734376535389j
-92.26+0j,2+0j,-0.500282367944289-0.863910450093156j
-92.24+0j,2+0j,-0.491457603920556-0.854896047104725j
-92.22+0j,2+0j,-0.479727211508134-0.850251906195303j
-92.2+0j,2+0j,-0.467120760119615-0.85078273447095j
-92.18+0j,2+0j,-0.455819875705537-0.856397773721213j
-92.16+0j,2+0j,-0.447780696925093-0.866126315885428j
-92.14+0j,2+0j,-0.444395275698954-0.878285515684211j
-92.12+0j,2+0j,-0.446250532216914-0.890771489540775j
-92.1+0j,2+0j,-0.453026503178431-0.901423346442228j
-92.08+0j,2+0j,-0.463551523378965-0.908397163223055j
-92.06+0j,2+0j,-0.476004823950212-0.910485182180368j
-92.04+0j,2+0j,-0.488231515011082-0.907324975487441j
-92.02+0j,2+0j,-0.498115462531421-0.899462352565824j
-92+0j,2+0j,-0.503945537747589-0.8882570916263j
-91.98+0j,2+0j,-0.504711850663174-0.87564777677432j
-91.96+0j,2+0j,-0.500280683282781-0.86381641025291j
-91.94+0j,2+0j,-0.491417820744343-0.854810824088095j
-91.92+0j,2+0j,-0.479656209878624-0.850190231521787j
-91.9+0j,2+0j,-0.467030816184256-0.850755267811999j
-91.88+0j,2+0j,-0.455726539145623-0.856409260522506j
-91.86+0j,2+0j,-0.447700102689222-0.866174767504183j
-91.84+0j,2+0j,-0.444341354777373-0.878362553685679j
-91.82+0j,2+0j,-0.446232603626729-0.890863794542728j
-91.8+0j,2+0j,-0.453047663391555-0.901514960963091j
-91.78+0j,2+0j,-0.46360811154041-0.908472250381704j
-91.76+0j,2+0j,-0.476087055244771-0.910530763327815j
-91.74+0j,2+0j,-0.488325172596596-0.907333173531349j
-91.72+0j,2+0j,-0.498204355476955-0.899431753236448j
-91.7+0j,2+0j,-0.504014300024011-0.888192987440932j
-91.68+0j,2+0j,-0.504748597312432-0.875561251618631j
-91.66+0j,2+0j,-0.500279064621297-0.863722422916897j
-91.64+0j,2+0j,-0.491378119552045-0.854725622125902j
-91.62+0j,2+0j,-0.479585291987742-0.850128542540095j
-91.6+0j,2+0j,-0.466940943103397-0.850727753729032j
-91.58+0j,2+0j,-0.455633248066162-0.85642067484119j
-91.56+0j,2+0j,-0.447619520419474-0.866223134081231j
-91.54+0j,2+0j,-0.444287409972315-0.878439508872721j
-91.52+0j,2+0j,-0.446214619223044-0.890956033460235j
-91.5+0j,2+0j,-0.453068745394317-0.901606537809213j
-91.48+0j,2+0j,-0.463664612613604-0.908547335068989j
-91.46+0j,2+0j,-0.476169205741298-0.910576377891774j
-91.44+0j,2+0j,-0.488418769850093-0.907341435292106j
-91.42+0j,2+0j,-0.498293219253553-0.899401236997695j
-91.4+0j,2+0j,-0.504083069617467-0.888128971327794j
-91.38+0j,2+0j,-0.504785386744723-0.875474804151692j
-91.36+0j,2+0j,-0.500277516979883-0.863628489228292j
-91.34+0j,2+0j,-0.49133850539948-0.854640440219448j
-91.32+0j,2+0j,-0.479514462051979-0.85006683627844j
-91.3+0j,2+0j,-0.4668511435226-0.850700187787796j
-91.28+0j,2+0j,-0.455540003080767-0.856432011545367j
-91.26+0j,2+0j,-0.447538948587408-0.86627141067403j
-91.24+0j,2+0j,-0.444233437873706-0.878516377348196j
-91.22+0j,2+0j,-0.446196574300841-0.89104820411815j
-91.2+0j,2+0j,-0.453089743998806-0.90169807690741j
-91.18+0j,2+0j,-0.463721021824839-0.908622419330337j
-91.16+0j,2+0j,-0.476251271907514-0.910622029686306j
-91.14+0j,2+0j,-0.488512305094582-0.907349765695568j
-91.12+0j,2+0j,-0.498382054333399-0.899370809036652j
-91.1+0j,2+0j,-0.504151849071734-0.888065047837794j
-91.08+0j,2+0j,-0.504822223139089-0.875388437499158j
-91.06+0j,2+0j,-0.500276045452557-0.863534610343638j
-91.04+0j,2+0j,-0.491298983415609-0.854555277352183j
-91.02+0j,2+0j,-0.479443724347374-0.850005109718924j
-91+0j,2+0j,-0.466761420123189-0.850672565487609j
